IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2004210126,29867,0,1,ANDALUCIA,HUELVA,CUENCA MINERA,MINAS DE RIOTINTO,37.69176,-6.59999,7/27/2004,9625,11065,4,Provocados por pirómanos,1504,89,34,0,4488390
2007350042,18672.9,0,1,CANARIAS,LAS PALMAS,GRAN CANARIA,TEJEDA,27.946166,-15.661566,7/27/2007,7011,42168,4,Otras motivaciones,601,66,11,0,0
2007380023,16820.63,0,0,CANARIAS,S.C. TENERIFE,TENERIFE,REALEJOSLOS,28.358346,-16.603593,7/30/2007,4353,24523,4,Sin datos,1100,71,14,184705,0
2005190182,12732.73,11,3,CASTILLA-MANCHA,GUADALAJARA,ALCARRIA ALTA,RIBA DE SAELICES,40.939933,-2.2925,7/16/2005,6886,24851,2,HOGUERAS,1045,81,29,551169,23142608
2005100838,9901.47,0,0,EXTREMADURA,CACERES,IBORES-VILLUERCAS,CAÑAMERO,39.381154,-5.37991,7/21/2005,1738,9073,4,Otras motivaciones,506,77,24,0,14066413
2003100794,9562.66,0,0,EXTREMADURA,CACERES,SIERRA DE SAN PEDRO,PORTUGAL,39.253778,-7.249774,8/2/2003,4320,14350,1,RAYO,830,23,14,0,4277026
2006361456,7316.77,0,2,GALICIA,PONTEVEDRA,DEZA-TABEIROS,CERDEDO,42.542994,-8.436426,8/4/2006,1765,9040,4,Provocados por pirómanos,535,52,23,263160,15426315
2004230117,7136.6,0,0,ANDALUCIA,JAEN,SIERRA MORENA,ALDEAQUEMADA,38.4381,-3.318531,8/26/2004,1310,5480,4,Sin datos,632,45,26,173350,1704994
2009440084,6677.89,0,0,ARAGON,TERUEL,CUENCAS MINERAS,ALIAGA,40.71014,-0.659604,7/22/2009,9095,24830,1,RAYO,822,40,35,582917,28554150
2009500179,6459.16,0,0,ARAGON,ZARAGOZA,ZARAGOZA,ZARAGOZA,41.865529,-0.998509,8/18/2009,4465,7675,3,MANIOBRAS MILITARES,480,46,21,0,13391337
2003100718,6365.7,0,0,EXTREMADURA,CACERES,HURDES,OTRA PROVINCIA,40.457541,-6.415577,8/13/2003,0,0,2,QUEMA AGRÍCOLA (SIN ESPECIFICAR),273,21,23,0,12477772
2003050106,6275,0,1,CASTILLA Y LEON,AVILA,EL BARCO DE AVILA,SOLANA DE ÁVILA,40.33267,-5.645258,8/3/2003,4425,20490,4,Vandalismo,347,18,15,0,753719
2007120090,5775.02,0,0,C. VALENCIANA,CASTELLON,L ALCALATEN,USERES,40.15479,-0.188833,8/28/2007,5755,14695,3,MOTORES Y MÁQUINAS (SIN ESPECIFICAR),765,10,38,0,0
2005490807,4650,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.217616,-6.736336,10/1/2005,14190,14970,4,Sin datos,33,4,9,41779,0
2005230249,4506.5,0,7,ANDALUCIA,JAEN,LAS VILLAS,VILLANUEVA DEL ARZOBISPO,38.140985,-2.832852,8/7/2005,5090,12290,1,RAYO,1455,28,42,0,0
